Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,MCC,Balanced Accuracy,CV ROC AUC,Training Time (s),Prediction Time (s)
1,LightGBM,0.905366653011061,0.7525083612040134,0.5890052356020943,0.6607929515418502,0.9361404026251752,0.6129020350578135,0.7765327295057582,0.9336,26.919,0.0216
2,XGBoost,0.9016796394920115,0.7113095238095238,0.6256544502617801,0.6657381615598886,0.9357653412803958,0.6100995602821461,0.7892721012843626,0.9323,37.03,0.0227
3,Random Forest,0.9033183121671446,0.7253086419753086,0.6151832460732984,0.6657223796033994,0.93019027688427,0.6124792046233427,0.7859791898166395,0.9297,196.699,0.0572
4,Decision Tree,0.8979926259729619,0.7009063444108762,0.6073298429319371,0.6507713884992987,0.9205880707607261,0.5934843400475532,0.7796241249628117,0.9148,5.761,0.0071
5,Logistic Regression,0.8885702580909464,0.7644230769230769,0.4162303664921466,0.5389830508474577,0.9093483086640443,0.5106798111924675,0.6962162031586523,0.8913,4.954,0.0006
